LA|194790|KAB3316|L|Narrowbanding Waiver Granted|01/23/2013||A
LA|197387|KAE5521|C|Death Certificate and Letter|02/23/2021||A
LA|199438|KAF1290|P|sss|05/16/2019||A
LA|199439|KAF1291|P|GMRS DMR Waiver Request|05/19/2019||A
LA|199439|KAF1291|L|Denial of Waiver Request|06/04/2019||A
LA|1093869|WPQP441|O|Supplement to Petition for Reconsideration|10/18/2013||A
LA|2359058|WPTK842|P|Notice of attorney Lien|08/18/2011||A
LA|2412282|WPUX306|P|Waiver for renewal|09/24/2007||A
LA|2415526|WPUZ490|P|Petition|10/18/2012||A
LA|2419453|WPVB820|L|Re: Combined Program of Compulsory & Voluntary...|02/10/2008||A
LA|2434942|WPVP719|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434943|WPVP720|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434946|WPVP721|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434956|WPVP726|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434968|WPVP730|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434975|WPVP731|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434982|WPVP735|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434988|WPVP737|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434989|WPVP738|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434990|WPVP739|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2434998|WPVP741|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2435000|WPVP743|O|Notification of Intent to Operate Paging System|01/09/2003||A
LA|2455278|WPWD657|P|Reply to Opposition to AA and TC and MD, Initiate License...|01/15/2008||A
LA|2532640|WPYB720|P|REPLY|01/15/2008||A
LA|2532640|WPYB720|P|REPLY|02/06/2008||A
LA|2532640|WPYB720|P|REPLY|12/17/2007||A
LA|2532640|WPYB720|P|REPLY|08/06/2007||A
LA|2532640|WPYB720|P|REPLY|02/06/2008||A
LA|2532640|WPYB720|P|Reply to Opposition to AA and TC and MD, Initiate License...|01/15/2008||A
LA|2612464|WPZZ911|P|0010758613  Waiver|09/24/2023||A
LA|2632222|WQAL539|P|Request For Reconsideration|10/17/2011||A
LA|2640183|WQAR829|P|Waiver Request for license renewal|02/02/2021||D
LA|2640183|WQAR829|P|Waiver Request for license renewal|02/02/2021||A
LA|2667156|WQBL669|P|Petition for WQLB669|07/20/2023||D
LA|2709642|WQCN215|P|Cancellation filed in error|02/05/2020||A
LA|2709642|WQCN215|P|Cancellation notice|02/05/2020||A
LA|2709642|WQCN215|P|Renewal receipt|02/05/2020||A
LA|2709642|WQCN215|P|Renewal reminder|02/05/2020||A
LA|2747704|WQDJ841|P|Certification of Construction|02/22/2019||D
LA|2747704|WQDJ841|P|Certification of Construction|02/22/2019||A
LA|2748535|WQDK460|C|Cancellation Request|08/27/2015||A
LA|2777582|WQEF487|P|GMRS|02/16/2006||A
LA|2818141|WQFB846|P|License accidently canceled while renewing license|05/18/2021||A
LA|2849110|WQFU399|Q|Petition for Reconsideration|09/26/2011||A
LA|2986599|WQII446|P|txt file|01/16/2018||A
LA|3001794|WQIP631|P|Petition fo reconsideration|03/01/2018||A
LA|3080484|WQJZ354|P|700 MHz Performance Status Report|06/01/2011||A
LA|3080485|WQJZ355|P|700 MHz Performance Status Report|06/01/2011||A
